DateNum,SW_Small,SW_Large,NE_Small,NE_Large,Difference_in_Small,Difference_in_Large
42103.55,174,8,137,6,37,2
42103.51,201,8,326,15,-125,-7
42103.47,189,7,199,8,-10,-1
42103.43,200,7,172,6,28,1
42103.39,152,7,168,7,-16,0
42103.34,124,6,122,6,2,0
42103.3,107,4,99,4,8,0
42103.26,97,3,84,3,13,0
42103.22,107,3,89,3,18,0
42103.18,105,3,95,3,10,0
42103.14,130,3,102,3,28,0
42103.09,156,4,130,4,26,0
42103.05,168,5,149,5,19,0
42103.01,170,5,162,6,8,-1
42102.97,238,8,189,8,49,0
42102.93,267,11,240,10,27,1
42102.89,256,11,232,11,24,0
42102.84,207,8,218,9,-11,-1
42102.8,167,6,171,6,-4,0
42102.76,99,3,110,3,-11,0
42102.72,77,2,87,2,-10,0
42102.68,62,2,62,2,0,0
42102.64,65,1,57,1,8,0
42102.59,70,1,71,1,-1,0
42102.55,140,4,128,4,12,0
42101.55,261,10,235,10,26,0
42100.55,243,6,212,6,31,0
42099.55,366,14,326,13,40,1
42098.55,371,8,333,8,38,0
42097.55,843,17,724,16,119,1
42096.55,771,16,697,15,74,1
42110.55,156,26,118,13,38,13
42110.51,146,23,119,14,27,9
42110.47,114,18,95,10,19,8
42110.43,101,15,79,7,22,8
42110.39,82,7,78,6,4,1
42110.35,68,5,66,5,2,0
42110.31,68,5,63,4,5,1
42110.27,67,5,62,5,5,0
42110.23,75,6,67,6,8,0
42110.19,411,7,251,6,160,1
42110.15,378,7,323,7,55,0
42110.11,159,3,161,4,-2,-1
42110.07,222,4,184,4,38,0
42110.03,366,7,293,6,73,1
42109.99,468,9,417,10,51,-1
42109.95,365,6,328,7,37,-1
42109.91,527,10,436,9,91,1
42109.87,690,15,532,13,158,2
42109.83,489,12,462,11,27,1
42109.79,425,10,385,9,40,1
42109.75,344,9,388,9,-44,0
42109.71,262,9,295,8,-33,1
42109.67,129,8,109,6,20,2
42109.63,76,9,65,4,11,5
42109.55,258,7,224,6,34,1
42108.55,377,8,343,8,34,0
42107.55,681,19,607,18,74,1
42106.55,979,33,911,33,68,0
42105.55,305,7,282,7,23,0
42104.55,263,10,249,11,14,-1
42103.55,150,5,141,5,9,0
42117.55,1335,18,1321,17,14,1
42117.51,1429,18,1427,21,2,-3
42117.47,1979,34,1842,29,137,5
42117.43,2744,49,2544,46,200,3
42117.39,3190,64,2929,60,261,4
42117.35,4112,77,3534,72,578,5
42117.31,3604,82,3341,76,263,6
42117.27,3748,86,3439,83,309,3
42117.23,3813,90,3485,84,328,6
42117.19,3813,93,3538,87,275,6
42117.15,3857,99,3568,94,289,5
42117.11,3909,103,3597,97,312,6
42117.07,3718,99,3421,95,297,4
42117.03,3392,86,3185,84,207,2
42116.99,2990,69,2786,68,204,1
42116.95,2885,65,2616,63,269,2
42116.91,2386,51,2368,55,18,-4
42116.87,2383,42,1987,33,396,9
42116.83,1152,17,1365,21,-213,-4
42116.79,754,8,780,9,-26,-1
42116.75,933,10,934,9,-1,1
42116.71,865,15,759,10,106,5
42116.67,1018,20,982,18,36,2
42116.63,844,16,864,16,-20,0
42116.55,2007,45,1861,40,146,5
42115.55,1102,24,989,22,113,2
42114.55,1294,23,1210,22,84,1
42113.55,1265,22,1200,23,65,-1
42112.55,1577,24,1451,25,126,-1
42111.55,1811,32,1705,36,106,-4
42110.55,398,14,363,12,35,2
